10000	 1	
20000	 3	
30000	 4	
40000	 7	
50000	 8	
60000	 10	
70000	 11	
80000	 13	
90000	 19	
100000	 16	
5	 0	
10000	 2	
20000	 3	
30000	 4	
40000	 6	
50000	 8	
60000	 10	
70000	 11	
80000	 12	
90000	 15	
100000	 16	
